Site,"Ohio River Robert C Byrd Locks","Ohio River Robert C Byrd Locks","Ohio River Robert C Byrd Locks","Ohio River Robert C Byrd Locks","Ohio River Robert C Byrd Locks","Ohio River Robert C Byrd Locks","Ohio River Robert C Byrd Locks","Ohio River Robert C Byrd Locks","Ohio River Robert C Byrd Locks","Ohio River Robert C Byrd Locks","Ohio River Robert C Byrd Locks","Ohio River Robert C Byrd Locks","Ohio River Robert C Byrd Locks","Ohio River Robert C Byrd Locks","Ohio River Robert C Byrd Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks","Ohio River Greenup Locks"
"Time America/Chicago UTC-06:00",Battery,Temperature,"Sp Cond",pH,Turbidity,ODOSat,ODO,Chlorophyll,"Chlorophyll RFU",BGA-Phycocyanin,"BGA-Phycocyanin RFU",Depth,"Wiper Pos","Cable Pwr",PAR,Battery,Temperature,"Sp Cond",pH,Turbidity,ODOSat,ODO,Chlorophyll,"Chlorophyll RFU",BGA-Phycocyanin,"BGA-Phycocyanin RFU",Depth,"Wiper Pos","Cable Pwr",PAR,Nitrate,Nitrate,"Optical Brighteners RFU",Generic,Nitrate,Nitrate,"Optical Brighteners RFU",Generic
,V,C,uS/cm,,NTU,%,mg/L,ug/L,RFU,ug/L,RFU,m,V,V,umol/s/m2,V,C,uS/cm,,NTU,%,mg/L,ug/L,RFU,ug/L,RFU,m,V,V,umol/s/m2,uMol,mg/L,RFU,,uMol,mg/L,RFU,
"02-02-2021 13:30:00",14.50,3.56,210,7.77,42.25,100.99,13.38,2.080,0.5,0.480,0.5,0.901,1.190,13.5,427.5,12.90,3.25,261,7.79,51.22,96.15,12.85,2.570,0.6,0.690,0.7,1.106,1.210,12.3,975.43,,,,,52.400,0.733,13703.0,808.00
"02-02-2021 13:45:00",14.50,3.49,209,7.76,54.31,100.60,13.36,2.250,0.6,0.490,0.5,0.904,1.180,13.6,414.3,12.90,3.26,260,7.78,56.77,96.10,12.84,2.650,0.7,0.690,0.7,1.100,1.220,12.3,870.68,,,,,52.200,0.731,13810.0,808.00
"02-02-2021 14:00:00",14.00,3.53,209,7.77,45.15,100.91,13.38,2.150,0.5,0.500,0.5,0.903,1.190,13.6,399.4,12.80,3.27,261,7.78,58.45,96.16,12.84,2.490,0.6,0.650,0.6,1.109,1.210,12.3,751.38,,,,,52.200,0.731,13631.0,808.00
"02-02-2021 14:15:00",14.50,3.75,209,7.82,47.30,102.42,13.51,2.120,0.5,0.480,0.5,0.900,1.190,13.6,559.3,12.80,3.28,260,7.79,56.00,96.10,12.83,2.630,0.7,0.670,0.6,1.102,1.220,12.3,693.88,,,,,52.400,0.733,13751.0,810.00
"02-02-2021 14:30:00",14.50,3.71,209,7.83,40.51,102.26,13.50,2.110,0.5,0.470,0.5,0.909,1.180,13.6,769.4,12.80,3.28,259,7.78,55.62,96.12,12.83,2.680,0.7,0.690,0.7,1.109,1.210,12.3,638.04,,,,,52.000,0.729,13850.0,811.00
"02-02-2021 14:45:00",14.50,3.73,210,7.83,46.22,102.53,13.53,2.150,0.5,0.450,0.4,0.893,1.180,13.6,613.9,12.80,3.28,259,7.78,58.80,96.07,12.83,2.540,0.6,0.680,0.7,1.108,1.220,12.3,580.54,,,,,52.500,0.735,13551.0,809.00
"02-02-2021 15:00:00",14.00,3.41,212,7.76,39.10,100.78,13.41,2.190,0.5,0.470,0.5,0.893,1.190,13.6,525.2,12.80,3.27,259,7.78,52.92,96.11,12.83,2.610,0.7,0.670,0.6,1.107,1.220,12.3,515.63,,,,,52.200,0.731,13784.0,810.00
"02-02-2021 15:15:00",14.60,3.42,211,7.76,45.93,100.82,13.41,2.240,0.6,0.470,0.5,0.900,1.200,13.6,443.8,12.90,3.28,259,7.78,61.76,96.11,12.83,2.690,0.7,0.660,0.6,1.105,1.220,12.2,452.40,,,,,52.300,0.732,13710.0,809.00
"02-02-2021 15:30:00",14.50,3.50,211,7.77,42.07,101.23,13.44,2.030,0.5,0.470,0.5,0.902,1.180,13.6,361.1,12.80,3.28,259,7.78,52.06,96.16,12.84,2.600,0.7,0.670,0.6,1.105,1.210,12.2,381.54,,,,,51.700,0.724,13638.0,810.00
"02-02-2021 15:45:00",14.60,3.31,210,7.73,50.86,99.62,13.29,2.190,0.5,0.480,0.5,0.886,1.190,13.6,287.1,12.80,3.28,258,7.78,53.72,96.08,12.83,2.570,0.6,0.670,0.6,1.104,1.220,12.2,287.29,,,,,52.200,0.731,13625.0,811.00
"02-02-2021 16:00:00",14.10,3.29,210,7.73,48.98,99.39,13.27,2.150,0.5,0.490,0.5,0.884,1.180,13.7,233.9,12.80,3.30,257,7.78,62.97,96.07,12.82,2.590,0.7,0.670,0.6,1.116,1.220,12.2,214.99,,,,,52.400,0.733,13572.0,810.00
"02-02-2021 16:15:00",14.60,3.26,209,7.73,49.39,99.26,13.26,2.110,0.5,0.490,0.5,0.887,1.180,13.6,156.7,12.90,3.28,257,7.78,54.90,96.05,12.82,2.490,0.6,0.660,0.6,1.119,1.220,12.3,92.82,,,,,52.300,0.733,13606.0,810.00
